City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Sangar,RU,73.29,light rain,63.92,127.47,
20,Tecoanapa,MX,82.0,moderate rain,16.52,-98.75,Hotel Manglares
21,Hearst,CA,62.15,moderate rain,49.68,-83.67,Companion
29,Vangaindrano,MG,65.41,light rain,-23.35,47.6,Hotel Fanilo
91,Panzhihua,CN,82.15,light rain,26.59,101.71,Electric Power Hotel
125,Yerbogachen,RU,74.46,light rain,61.28,108.01,
132,Pontianak,ID,76.08,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
153,Grand-Santi,GF,73.38,light rain,4.25,-54.38,Hotel La Villa Couacou
158,Carroll,US,69.01,light rain,39.55,-77.02,Best Western Westminster Hotel
161,Gizo,SB,84.4,light rain,-8.1,156.84,Imagination Island
179,Biak,ID,81.73,light rain,-0.91,122.88,Kost Ariz
182,Faanui,PF,79.41,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
217,Asosa,ET,63.14,light rain,10.07,34.53,Blendana Hotel Assosa
235,Grand Gaube,MU,69.01,moderate rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
240,Namatanai,PG,84.87,light rain,-3.67,152.43,Namatanai Hotel
241,Fare,PF,80.08,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
245,Buala,SB,85.55,light rain,-8.14,159.59,Maringe Lagoon Lodge
257,Whitianga,NZ,61.0,moderate rain,-36.83,175.7,Beachside Resort Whitianga
259,Kavaratti,IN,84.33,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
274,Acajutla,SV,75.0,light rain,13.59,-89.83,Stop.
275,Mihail Kogalniceanu,RO,64.4,light rain,44.37,28.45,Casa Bunicilor
283,Melo,UY,62.4,moderate rain,-32.37,-54.18,Hotel Juana
284,La Joya,MX,71.06,heavy intensity rain,18.67,-99.47,HOTEL BUGAMBILIAS
289,Harper,LR,77.07,light rain,4.38,-7.72,Cape View Guest House
296,Southbridge,US,73.0,moderate rain,42.08,-72.03,Southbridge Hotel & Conference Center
300,Antalaha,MG,73.62,moderate rain,-14.9,50.28,Hotel Vitasoa
301,Luganville,VU,78.49,light rain,-15.53,167.17,The Espiritu Hotel
304,Ca Mau,VN,84.97,moderate rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
319,Sambava,MG,74.46,moderate rain,-14.27,50.17,Melrose
323,Itaituba,BR,73.96,light rain,-4.28,-55.98,Hotel Campos
330,Raudeberg,NO,62.01,light rain,61.99,5.14,Nordre Silda.
344,Maba,CN,86.7,light rain,24.68,113.6,康泰旅店
348,Muros,ES,64.0,light rain,42.78,-9.06,Apartment Av. Castelao
349,Khor,RU,60.33,moderate rain,47.89,134.95,Gostinitsa Deksi
354,Tezu,IN,83.68,moderate rain,27.92,96.17,Circuit House
374,Palmer,US,75.0,light rain,42.16,-72.33,Wedgewood Motel
375,Yenagoa,NG,74.35,light rain,4.92,6.26,Amba Hotels Limited
391,Tulsipur,NP,81.0,light rain,28.13,82.3,Ekanta Hotel Pvt. Ltd
394,Manggar,ID,81.91,moderate rain,-2.88,108.27,Guest Hotel
408,Pachperwa,IN,78.78,light rain,27.52,82.65,भगत जी
411,Sulangan,PH,84.4,light rain,11.14,123.72,Maia's Beach Resort
422,Bolkhov,RU,62.22,light rain,53.44,36.0,Bolkhovskaya Starina
443,Bahraich,IN,81.0,light rain,27.58,81.6,Narain Guest House
447,Lalawigan,PH,85.78,light rain,11.59,125.47,Palms Apartment
460,Iralaya,HN,81.14,light rain,15.0,-83.23,Iglesia morava renovada
462,Hayden,US,62.6,light rain,47.77,-116.79,Triple Play Resort Hotel & Suites
469,Kangaba,ML,79.93,light rain,11.93,-8.42,Hôtel Mandé
471,Anchorage,US,64.4,light rain,61.22,-149.9,Hotel Captain Cook
481,Tarakan,ID,82.13,light rain,3.3,117.63,Hotel D' CaLia Tarakan
495,Numaran,MX,70.34,light rain,20.25,-101.93,Casa
498,Floro,NO,60.8,light rain,61.6,5.03,Kinn Hotell Florø
509,Mathbaria,BD,87.28,light rain,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
513,Cap Malheureux,MU,69.01,moderate rain,-19.98,57.61,Pereybere Hotel & Spa
515,Calabar,NG,73.94,light rain,4.95,8.32,NAKS Hotels (Formerly NAF Club)
521,Kita,ML,80.92,light rain,13.03,-9.49,Hôtel Nelson Mandela
526,Havelock,US,73.4,light rain,34.88,-76.9,Sherwood Motel
528,Manakara,MG,67.23,light rain,-22.13,48.02,La Residence Manakara
546,Iracoubo,GF,78.15,light rain,5.48,-53.2,
